할인 시작 날짜,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
2025-07-30,GameBillet,,16%,69624,58398,-2870
2025-07-30,GameBillet,19 minutes,12%,69624,61268,2786
2025-07-30,Gamer Thor,,16%,69624,58412,-11212
2025-07-30,GameBillet,1 hour,16%,69624,58482,9749
2025-07-29,AllYouPlay,,13%,69624,60710,-8914
2025-07-29,PlanetPlay,,0%,68405,68405,34202
2025-07-26,GameBillet,4 days,30%,69624,48733,18817
2025-07-26,GreenManGaming,,0%,53000,53000,26500
2025-07-26,Noctre,,0%,69624,69624,35501
2025-07-26,AllYouPlay,3 days,0%,69624,69624,39234
2025-07-26,WinGameStore,,0%,69624,69624,34819
2025-07-26,Gamer Thor,4 days,0%,69624,69624,36212
2025-07-26,Humble Store,,0%,69624,69624,34819
2025-07-25,Gamer Thor,10 hours,52%,69624,33412,3482
2025-07-24,GameBillet,1 day,57%,69624,29916,-2925
2025-07-24,GameBillet,19 minutes,53%,69624,32841,2785
2025-07-24,Gamer Thor,21 hours,57%,69624,29930,4039
2025-07-24,Gamer Thor,2 hours,63%,69624,25891,-4179
2025-07-24,GameBillet,3 hours,57%,69624,30056,4095
2025-07-24,GameBillet,39 minutes,63%,69624,25961,-4178
2025-07-24,Gamer Thor,2 hours,57%,69624,30070,-4735
2025-07-24,Gamer Thor,11 hours,50%,69624,34805,4652
2025-07-23,GameBillet,17 hours,57%,69624,30139,-2869
2025-07-23,GameBillet,19 minutes,53%,69624,33008,2785
2025-07-23,Gamer Thor,20 hours,57%,69624,30153,-39471
2025-07-23,Gamer Thor,59 minutes,0%,69624,69624,39387
2025-07-21,IndieGala Store,,0%,69624,69624,34819
2025-07-19,GameBillet,4 days,57%,69624,30223,-2869
2025-07-19,GameBillet,20 minutes,52%,69624,33092,2786
2025-07-19,Gamer Thor,3 days,57%,69624,30237,-83
2025-07-19,GameBillet,1 hour,56%,69624,30306,-1992
2025-07-19,Gamer Thor,5 hours,56%,69624,30320,-1992
2025-07-18,AllYouPlay,7 days,56%,69624,30390,-39234
2025-07-17,Humble Store,8 days,50%,69624,34805,-34819
2025-07-16,GameBillet,2 days,54%,69624,32298,-16435
2025-07-16,Gamer Thor,2 days,54%,69624,32312,-1741
2025-07-16,Gamer Thor,1 hour,51%,69624,34053,-35571
2025-07-16,WinGameStore,10 days,50%,69624,34805,-34819
2025-07-16,GreenManGaming,10 days,50%,53000,26500,-26500
